timestamp,BTC,ETH,SOL,XRP
2020-10-06,10599.66,340.75,2.174,0.24545
2020-10-07,10666.39,341.58,2.3005,0.2487
2020-10-08,10925.57,350.95,2.3638,0.25141
2020-10-09,11050.64,365.02,2.5314,0.25293
2020-10-10,11293.22,370.52,2.3999,0.25402
2020-10-11,11369.02,374.16,2.4227,0.25544
2020-10-12,11528.25,386.51,2.5836,0.25603
2020-10-13,11420.56,381.04,2.4062,0.2565
2020-10-14,11417.89,378.69,2.3107,0.24906
2020-10-15,11505.12,377.64,2.2682,0.24596
2020-10-16,11319.32,365.5,2.1398,0.24011
2020-10-17,11360.2,368.32,2.2053,0.24057
2020-10-18,11503.14,378.11,2.215,0.24221
2020-10-19,11751.47,379.3,2.0592,0.24558
2020-10-20,11909.99,368.52,1.885,0.24322
2020-10-21,12780.96,390.38,1.8887,0.25088
2020-10-22,12968.52,413.98,1.9582,0.25709
2020-10-23,12923.07,409.11,1.959,0.25471
2020-10-24,13111.73,412.14,1.9142,0.2562
2020-10-25,13028.83,405.86,1.7926,0.25313
2020-10-26,13052.19,392.52,1.6799,0.2481
2020-10-27,13636.17,403.45,1.711,0.25273
2020-10-28,13266.4,388.23,1.518,0.2454
2020-10-29,13455.7,387.13,1.4327,0.24239
2020-10-30,13560.1,382.49,1.4381,0.23905
2020-10-31,13791.0,386.46,1.5497,0.23968
2020-11-01,13761.5,396.67,1.608,0.23999
2020-11-02,13549.37,383.02,1.4738,0.23523
2020-11-03,14023.53,387.88,1.4118,0.2396
2020-11-04,14144.01,402.49,1.3912,0.23758
2020-11-05,15590.02,416.69,1.4007,0.24561
2020-11-06,15579.92,455.91,1.9,0.25863
2020-11-07,14818.3,435.21,2.0215,0.2491
2020-11-08,15475.1,454.3,2.1558,0.25374
2020-11-09,15328.41,444.32,2.0299,0.25059
2020-11-10,15297.21,450.34,2.2661,0.2538
2020-11-11,15684.24,463.09,2.0,0.25581
2020-11-12,16291.86,462.39,1.9089,0.2549
2020-11-13,16320.7,476.43,2.0141,0.2659
2020-11-14,16070.45,460.89,1.9182,0.26824
2020-11-15,15957.0,448.08,2.0407,0.26954
2020-11-16,16713.57,460.55,2.2626,0.28813
2020-11-17,17659.38,482.15,2.1998,0.30247
2020-11-18,17776.12,478.41,2.1153,0.29335
2020-11-19,17802.82,471.25,2.085,0.30358
2020-11-20,18655.67,510.12,2.1033,0.32991
2020-11-21,18703.8,552.35,2.3822,0.46283
2020-11-22,18414.43,560.03,2.1514,0.44611
2020-11-23,18368.0,608.58,2.2786,0.61579
2020-11-24,19160.01,604.97,2.2823,0.694
2020-11-25,18719.11,569.5,2.2661,0.63022
2020-11-26,17149.47,519.83,1.9111,0.53654
2020-11-27,17139.52,518.68,1.861,0.5623
2020-11-28,17719.85,537.52,1.8868,0.62579
2020-11-29,18184.99,576.3,1.9153,0.60543
2020-11-30,19695.87,616.66,1.9665,0.66417
2020-12-01,18764.96,585.26,1.9738,0.61088
2020-12-02,19204.09,596.89,2.1209,0.62972
2020-12-03,19421.9,615.85,2.0967,0.63046
2020-12-04,18650.52,567.24,1.8535,0.55367
2020-12-05,19147.66,596.8,1.9795,0.58517
2020-12-06,19359.4,601.54,1.8505,0.62107
2020-12-07,19166.9,591.28,1.8272,0.60818
2020-12-08,18324.11,554.94,1.6631,0.5589
2020-12-09,18541.28,573.09,1.6592,0.58265
2020-12-10,18254.63,558.99,1.5683,0.57267
2020-12-11,18036.53,544.43,1.4389,0.54945
2020-12-12,18808.69,568.04,1.4912,0.50658
2020-12-13,19174.99,590.7,1.5701,0.51365
2020-12-14,19273.14,586.29,1.5946,0.4974
2020-12-15,19426.43,588.64,1.7586,0.46793
2020-12-16,21335.52,637.18,1.7829,0.56941
2020-12-17,22797.16,642.7,1.68,0.5769
2020-12-18,23107.39,653.85,1.7014,0.58337
2020-12-19,23821.61,658.03,1.6707,0.57666
2020-12-20,23455.52,638.18,1.5635,0.55586
2020-12-21,22719.71,607.58,1.5331,0.51445
2020-12-22,23810.79,636.45,1.49,0.44642
2020-12-23,23232.76,585.56,1.198,0.2605
2020-12-24,23729.2,612.31,1.3612,0.33863
2020-12-25,24712.47,626.82,1.4464,0.31768
2020-12-26,26493.39,637.44,1.3258,0.29481
2020-12-27,26281.66,685.11,1.3037,0.28407
2020-12-28,27079.41,730.41,1.5172,0.24845
2020-12-29,27385.0,732.0,1.6704,0.22142
2020-12-30,28875.54,752.17,1.535,0.21138
2020-12-31,28923.63,736.42,1.5073,0.21959
2021-01-01,29331.69,728.91,1.8421,0.23746
2021-01-02,32178.33,774.56,1.7999,0.22064
2021-01-03,33000.05,978.28,2.1779,0.2254
2021-01-04,31988.71,1041.43,2.4909,0.23565
2021-01-05,33949.53,1099.56,2.1636,0.22573
2021-01-06,36769.36,1208.42,1.9414,0.24854
2021-01-07,39432.28,1224.87,2.3635,0.32389
2021-01-08,40582.81,1216.93,3.2214,0.32032
2021-01-09,40088.22,1276.0,3.3829,0.32419
2021-01-10,38150.02,1254.25,3.449,0.31491
2021-01-11,35404.47,1087.01,3.1016,0.28743
2021-01-12,34051.24,1050.16,3.6354,0.29254
2021-01-13,37371.38,1129.89,3.5242,0.30582
2021-01-14,39144.5,1231.62,3.2921,0.29642
2021-01-15,36742.22,1168.53,3.2475,0.27991
2021-01-16,35994.98,1227.83,3.4247,0.27924
2021-01-17,35828.61,1232.45,3.8268,0.27746
2021-01-18,36631.27,1258.45,3.7868,0.28528
2021-01-19,35891.49,1365.36,3.6287,0.29396
2021-01-20,35468.23,1376.99,3.7166,0.29539
2021-01-21,30850.13,1110.96,2.9899,0.26802
2021-01-22,32945.17,1232.62,3.3352,0.27217
2021-01-23,32078.0,1233.6,3.5079,0.27167
2021-01-24,32259.9,1392.51,3.6278,0.27339
2021-01-25,32254.2,1317.88,3.7038,0.26757
2021-01-26,32467.77,1365.97,4.041,0.26834
2021-01-27,30366.15,1239.03,3.675,0.25039
2021-01-28,33364.86,1329.69,3.81,0.26407
2021-01-29,34252.2,1379.5,3.8293,0.2829
2021-01-30,34262.88,1378.05,4.228,0.44372
2021-01-31,33092.98,1312.55,4.2525,0.49507
2021-02-01,33526.37,1374.17,4.6148,0.37106
2021-02-02,35466.24,1511.87,5.2331,0.37254
2021-02-03,37618.87,1664.49,5.7311,0.39721
2021-02-04,36936.66,1595.67,6.4085,0.44545
2021-02-05,38290.24,1719.19,6.7005,0.45219
2021-02-06,39186.94,1676.35,6.1225,0.44307
2021-02-07,38795.69,1611.62,6.6976,0.41849
2021-02-08,46374.87,1750.15,7.855,0.45099
2021-02-09,46420.42,1769.13,7.8005,0.47636
2021-02-10,44807.58,1740.78,9.09,0.50429
2021-02-11,47969.51,1785.62,9.2004,0.52806
2021-02-12,47287.6,1840.26,9.2,0.609
2021-02-13,47153.69,1814.96,8.7441,0.63309
2021-02-14,48577.79,1800.42,8.7158,0.59211
2021-02-15,47911.1,1779.25,8.8516,0.54976
2021-02-16,49133.45,1781.99,8.3002,0.51995
2021-02-17,52119.71,1849.88,8.2357,0.53467
2021-02-18,51552.6,1939.61,8.9771,0.53204
2021-02-19,55906.0,1955.0,11.4912,0.56465
2021-02-20,55841.19,1913.0,9.9869,0.51167
2021-02-21,57408.57,1933.53,11.0753,0.54468
2021-02-22,54087.67,1777.58,14.4191,0.56646
2021-02-23,48891.0,1577.89,15.2244,0.47579
2021-02-24,49676.2,1623.39,17.1691,0.4686
2021-02-25,47073.73,1481.75,13.8442,0.43601
2021-02-26,46276.87,1444.59,13.5962,0.42788
2021-02-27,46106.43,1458.13,13.1916,0.43589
2021-02-28,45135.66,1419.18,13.0887,0.41565
2021-03-01,49587.03,1569.86,14.9855,0.44537
2021-03-02,48440.65,1486.78,13.9438,0.4357
2021-03-03,50349.37,1567.69,14.0742,0.44846
2021-03-04,48374.09,1539.23,13.0508,0.48096
2021-03-05,48751.71,1528.31,12.5382,0.45457
2021-03-06,48882.2,1650.35,13.0421,0.46285
2021-03-07,50971.75,1726.16,13.8174,0.46558
2021-03-08,52375.17,1833.18,13.6028,0.47412
2021-03-09,54884.5,1870.51,14.839,0.4849
2021-03-10,55851.59,1795.12,14.2048,0.46155
2021-03-11,57773.16,1825.78,16.031,0.45187
2021-03-12,57221.72,1766.1,14.5597,0.43934
2021-03-13,61188.39,1922.35,15.3033,0.45787
2021-03-14,58968.31,1848.1,14.4605,0.43905
2021-03-15,55605.2,1793.48,14.1577,0.43574
2021-03-16,56900.75,1805.12,13.6392,0.46024
2021-03-17,58912.97,1823.58,14.2018,0.4698
2021-03-18,57648.16,1776.08,14.204,0.46893
2021-03-19,58030.01,1809.1,14.1552,0.46651
2021-03-20,58102.28,1806.1,14.1894,0.52613
2021-03-21,57351.56,1782.98,14.3372,0.51651
2021-03-22,54083.25,1680.97,14.7964,0.5441
2021-03-23,54340.89,1668.08,14.1552,0.5498
2021-03-24,52303.65,1581.84,13.5973,0.48021
2021-03-25,51293.78,1585.74,12.9787,0.51058
2021-03-26,55025.59,1698.84,14.7664,0.56357
2021-03-27,55817.14,1712.63,16.4589,0.54752
2021-03-28,55777.63,1687.01,18.0645,0.54552
2021-03-29,57635.47,1816.74,18.9504,0.56538
2021-03-30,58746.57,1840.46,19.0685,0.5621
2021-03-31,58740.55,1919.37,19.3861,0.56982
2021-04-01,58720.44,1968.05,19.0443,0.57087
2021-04-02,58950.01,2133.69,19.7501,0.60701
2021-04-03,57051.94,2008.52,22.5,0.57831
2021-04-04,58202.01,2075.69,23.7755,0.635
2021-04-05,59129.99,2107.38,22.9717,0.91584
2021-04-06,57991.15,2112.21,25.0548,1.09663
2021-04-07,55953.45,1963.47,26.5385,0.91542
2021-04-08,58077.52,2080.46,26.9384,1.05599
2021-04-09,58142.54,2066.87,27.6172,1.01721
2021-04-10,59769.13,2133.49,26.8021,1.3728
2021-04-11,60002.43,2151.36,27.8517,1.35118
2021-04-12,59860.0,2137.69,28.5424,1.46843
2021-04-13,63575.0,2299.19,27.4507,1.79611
2021-04-14,62959.53,2432.6,26.4067,1.83468
2021-04-15,63159.98,2514.04,27.7816,1.75781
2021-04-16,61334.8,2422.67,25.2996,1.54805
2021-04-17,60006.66,2317.6,24.85,1.53896
2021-04-18,56150.01,2235.64,32.3358,1.40797
2021-04-19,55633.14,2161.12,31.4711,1.30945
2021-04-20,56425.0,2330.03,31.7028,1.38501
2021-04-21,53787.63,2357.06,32.5534,1.29097
2021-04-22,51690.96,2397.94,38.9,1.15489
2021-04-23,51125.14,2367.39,37.3893,1.17073
2021-04-24,50047.84,2213.35,40.8401,1.04833
2021-04-25,49066.77,2320.49,47.405,1.0351
2021-04-26,54001.39,2532.6,43.878,1.3629
2021-04-27,55011.97,2666.13,43.147,1.4017
2021-04-28,54846.22,2748.24,44.833,1.3576
2021-04-29,53555.0,2757.04,42.484,1.3978
2021-04-30,57694.27,2772.42,42.786,1.5988
2021-05-01,57800.37,2944.77,49.67,1.651
2021-05-02,56578.21,2949.56,46.897,1.5605
2021-05-03,57169.39,3431.04,45.912,1.5546
2021-05-04,53200.01,3239.01,42.636,1.3877
2021-05-05,57436.11,3524.26,44.98,1.6133
2021-05-06,56393.68,3489.73,43.496,1.6028
2021-05-07,57314.75,3479.53,43.182,1.5793
2021-05-08,58862.05,3910.26,45.612,1.5611
2021-05-09,58240.84,3923.95,44.33,1.5345
2021-05-10,55816.14,3945.88,42.854,1.3906
2021-05-11,56670.02,4173.45,44.538,1.4786
2021-05-12,49631.32,3823.21,43.709,1.2691
